 (HEAD -> develop, origin/develop) : e417ca41570b1940578739a02328f4fff2dd2fd6
Timestamp: 2016-07-13 17:20:51 -0700
Epoch Timestamp: 1468455651
--------------------------------------------------------------------------------
test, time(s), result
Tests/Unit/pos/LambdaEval.hs, 8.2284, True
Tests/Unit/pos/LambdaDeBruijn.hs, 1.1123, True
Tests/Unit/pos/kmpVec.hs, 1.4159, True
Tests/Unit/pos/kmpIO.hs, 2.2733, True
Tests/Unit/pos/kmp.hs, 1.6620, True
Tests/Unit/pos/Keys.hs, 0.6734, True
Tests/Unit/pos/jeff.hs, 3.0067, True
Tests/Unit/pos/ite1.hs, 0.6366, True
Tests/Unit/pos/ite.hs, 0.6159, True
Tests/Unit/pos/invlhs.hs, 0.6210, True
Tests/Unit/pos/Invariants.hs, 0.7065, True
Tests/Unit/pos/inline1.hs, 0.6196, True
Tests/Unit/pos/inline.hs, 0.6811, True
Tests/Unit/pos/initarray.hs, 0.8741, True
Tests/Unit/pos/infix.hs, 0.6709, True
Tests/Unit/pos/Infinity.hs, 0.6911, True
Tests/Unit/pos/implies.hs, 0.6148, True
Tests/Unit/pos/imp0.hs, 0.6882, True
Tests/Unit/pos/idNat0.hs, 0.6301, True
Tests/Unit/pos/idNat.hs, 0.6376, True
Tests/Unit/pos/IcfpDemo.hs, 0.8088, True
Tests/Unit/pos/Holes.hs, 0.6711, True
Tests/Unit/pos/hole-fun.hs, 0.6283, True
Tests/Unit/pos/hole-app.hs, 0.6162, True
Tests/Unit/pos/HigherOrderRecFun.hs, 0.6198, True
Tests/Unit/pos/hello.hs, 0.6441, True
Tests/Unit/pos/HedgeUnion.hs, 0.7221, True
Tests/Unit/pos/HaskellMeasure.hs, 0.6391, True
Tests/Unit/pos/HasElem.hs, 0.6635, True
Tests/Unit/pos/grty3.hs, 0.6103, True
Tests/Unit/pos/grty2.hs, 0.6326, True
Tests/Unit/pos/grty1.hs, 0.6092, True
Tests/Unit/pos/grty0.hs, 0.6319, True
Tests/Unit/pos/Graph.hs, 0.8927, True
Tests/Unit/pos/Gradual.hs, 0.0000, True
Tests/Unit/pos/GoodHMeas.hs, 0.6384, True
Tests/Unit/pos/Goo.hs, 0.6250, True
Tests/Unit/pos/go_ugly_type.hs, 0.6682, True
Tests/Unit/pos/go.hs, 0.6605, True
Tests/Unit/pos/gimme.hs, 0.6597, True
Tests/Unit/pos/GhcSort3.T.hs, 1.2174, True
Tests/Unit/pos/GhcSort3.hs, 2.6054, True
Tests/Unit/pos/GhcSort2.hs, 1.1655, True
Tests/Unit/pos/GhcSort1.hs, 2.1851, True
Tests/Unit/pos/GhcListSort.hs, 3.7931, True
Tests/Unit/pos/GeneralizedTermination.hs, 0.6998, True
Tests/Unit/pos/GCD.hs, 0.7643, True
Tests/Unit/pos/GADTs.hs, 0.6175, True
Tests/Unit/pos/gadtEval.hs, 1.0568, True
Tests/Unit/pos/FractionalInstance.hs, 1.4855, True
Tests/Unit/pos/Fractional.hs, 0.6243, True
Tests/Unit/pos/forloop.hs, 0.7749, True
Tests/Unit/pos/for.hs, 0.8083, True
Tests/Unit/pos/Foo.hs, 0.6126, True
Tests/Unit/pos/foldr.hs, 0.6766, True
Tests/Unit/pos/foldN.hs, 0.6597, True
Tests/Unit/pos/Foldl.hs, 5.3691, True
Tests/Unit/pos/filterAbs.hs, 0.7619, True
Tests/Unit/pos/FFI.hs, 0.7127, True
Tests/Unit/pos/failName.hs, 0.6101, True
Tests/Unit/pos/extype.hs, 0.6188, True
Tests/Unit/pos/exp0.hs, 0.6684, True
Tests/Unit/pos/ExactFunApp.hs, 0.6379, True
Tests/Unit/pos/ex1.hs, 0.7257, True
Tests/Unit/pos/ex01.hs, 0.6248, True
Tests/Unit/pos/ex0.hs, 0.6836, True
Tests/Unit/pos/Even0.hs, 0.6332, True
Tests/Unit/pos/Even.hs, 0.6169, True
Tests/Unit/pos/Eval.hs, 0.7378, True
Tests/Unit/pos/eqelems.hs, 0.6784, True
Tests/Unit/pos/elim01.hs, 0.6866, True
Tests/Unit/pos/elim00.hs, 0.6410, True
Tests/Unit/pos/elim-ex-map-3.hs, 2.7496, True
Tests/Unit/pos/elim-ex-map-2.hs, 2.7718, True
