 (HEAD -> strings, origin/strings) : 20523970e499f503556de9c9c53dcc649534a92b
Timestamp: 2016-07-13 16:44:03 -0700
Epoch Timestamp: 1468453443
--------------------------------------------------------------------------------
test, time(s), result
Tests/Unit/pos/modTest.hs, 0.7673, True
Tests/Unit/pos/Mod2.hs, 0.7105, True
Tests/Unit/pos/Mod1.hs, 0.6878, True
Tests/Unit/pos/MergeSort.hs, 1.4605, True
Tests/Unit/pos/Merge1.hs, 0.7804, True
Tests/Unit/pos/MeasureSets.hs, 0.7582, True
Tests/Unit/pos/Measures1.hs, 0.6925, True
Tests/Unit/pos/Measures.hs, 0.6940, True
Tests/Unit/pos/MeasureDups.hs, 0.8054, True
Tests/Unit/pos/MeasureContains.hs, 0.8244, True
Tests/Unit/pos/meas9.hs, 0.9067, True
Tests/Unit/pos/meas8.hs, 0.7697, True
Tests/Unit/pos/meas7.hs, 0.7592, True
Tests/Unit/pos/meas6.hs, 1.0170, True
Tests/Unit/pos/meas5.hs, 1.6836, True
Tests/Unit/pos/meas4.hs, 0.9574, True
Tests/Unit/pos/meas3.hs, 0.9670, True
Tests/Unit/pos/meas2.hs, 0.8140, True
Tests/Unit/pos/meas11.hs, 0.7879, True
Tests/Unit/pos/meas10.hs, 0.9074, True
Tests/Unit/pos/meas1.hs, 0.8489, True
Tests/Unit/pos/meas0a.hs, 0.8262, True
Tests/Unit/pos/meas00a.hs, 0.7292, True
Tests/Unit/pos/meas00.hs, 0.8032, True
Tests/Unit/pos/meas0.hs, 0.8449, True
Tests/Unit/pos/maybe4.hs, 0.7217, True
Tests/Unit/pos/maybe3.hs, 0.7626, True
Tests/Unit/pos/maybe2.hs, 1.7965, True
Tests/Unit/pos/maybe1.hs, 0.9467, True
Tests/Unit/pos/maybe000.hs, 0.7554, True
Tests/Unit/pos/maybe00.hs, 0.6777, True
Tests/Unit/pos/maybe0.hs, 0.7654, True
Tests/Unit/pos/maybe.hs, 1.4006, True
Tests/Unit/pos/mapTvCrash.hs, 0.6888, True
Tests/Unit/pos/maps1.hs, 0.7913, True
Tests/Unit/pos/maps.hs, 0.8163, True
Tests/Unit/pos/mapreduce.hs, 3.2582, True
Tests/Unit/pos/mapreduce-bare.hs, 6.0583, True
Tests/Unit/pos/Map2.hs, 17.9487, True
Tests/Unit/pos/Map0.hs, 17.7785, True
Tests/Unit/pos/Map.hs, 17.8434, True
Tests/Unit/pos/malformed0.hs, 1.4583, True
Tests/Unit/pos/Loo.hs, 0.7122, True
Tests/Unit/pos/LogicCurry1.hs, 0.6999, True
Tests/Unit/pos/LocalTermExpr.hs, 0.7951, True
Tests/Unit/pos/LocalSpecImp.hs, 0.6859, True
Tests/Unit/pos/LocalSpec0.hs, 0.7075, True
Tests/Unit/pos/LocalSpec.hs, 0.7553, True
Tests/Unit/pos/LocalLazy.hs, 0.7247, True
Tests/Unit/pos/LocalHole.hs, 0.7182, True
Tests/Unit/pos/lit00.hs, 0.7197, True
Tests/Unit/pos/lit.hs, 0.7106, True
Tests/Unit/pos/ListSort.hs, 2.8751, True
Tests/Unit/pos/listSetDemo.hs, 0.9725, True
Tests/Unit/pos/listSet.hs, 0.9796, True
Tests/Unit/pos/ListReverse-LType.hs, 0.7771, True
Tests/Unit/pos/ListRange.hs, 0.9669, True
Tests/Unit/pos/ListRange-LType.hs, 0.9532, True
Tests/Unit/pos/listqual.hs, 0.8228, True
Tests/Unit/pos/ListQSort.hs, 2.0995, True
